,date,open,close,high,low,volume
0,2010-01-04, 
1,2010-01-05, 
2,2010-01-06, 
3,2010-01-07, 
4,2010-01-08, 
5,2010-01-11, 
6,2010-01-12, 
7,2010-01-13,
8,2010-01-14, 
9,2010-01-15, 
10,2010-01-18, 
11,2010-01-19, 
12,2010-01-20, 
13,2010-01-21, 
14,2010-01-22, 
15,2010-01-25, 
16,2010-01-26, 
17,2010-01-27, 
18,2010-01-28, 
19,2010-01-29, 
20,2010-02-01, 
21,2010-02-02, 
22,2010-02-04, 
23,2010-02-05, 
24,2015-02-06, 
25,2015-02-09, 
26,2015-02-10, 
27,2015-02-11, 
28,2015-02-12, 
29,2015-02-13, 
30,2015-02-16, 
31,2010-02-24,
32,2010-02-25,
33,2010-02-26, 
34,2010-03-01, 
35,2010-03-03, 
36,2010-03-04, 
37,2010-03-05, 
38,2010-03-08, 
39,2010-03-09, 
40,2010-03-10, 
41,2010-03-11, 
42,2010-03-12, 
43,2010-03-15, 
44,2010-03-16, 
45,2010-03-17, 
46,2010-03-18, 
47,2010-03-19, 
48,2010-03-22, 
49,2010-03-23, 
50,2010-03-24, 
51,2010-03-25, 
52,2010-03-26, 
53,2010-03-29, 
54,2010-03-30, 
55,2010-03-31,
56,2010-04-01, 
57,2010-04-02, 
58,2010-04-06, 
59,2010-04-07, 
60,2010-04-08, 
61,2010-04-09, 
62,2010-04-12,  
64,2010-04-14, 
63,2010-04-13,
65,2010-04-15, 
66,2010-04-16, 
67,2010-04-19, 
68,2010-04-20, 
69,2010-04-21, 
70,2010-04-22, 
381,2011-08-08,13.04,12.431,13.464,12.095,354873.0,002233
382,2011-08-09,12.024,12.625,12.855,11.91,326335.0,002233
383,2011-08-10,12.97,12.873,13.35,12.705,401911.0,002233
384,2011-08-11,12.484,12.811,12.943,12.484,268443.0,002233
385,2011-08-12,12.864,12.643,13.014,12.59,250432.0,002233
386,2011-08-16,12.828,12.961,13.217,12.775,347022.0,002233
387,2011-08-17,12.899,12.713,13.058,12.634,188284.0,002233
388,2011-08-18,12.66,12.024,12.74,11.989,242047.0,002233
389,2011-08-19,11.662,11.512,11.803,11.353,233437.0,002233
390,2011-08-22,11.618,11.415,11.768,11.353,175876.0,002233
391,2011-08-23,11.521,12.06,12.06,11.309,294371.0,002233
392,2011-08-24,11.971,11.742,12.166,11.715,217533.0,002233
393,2011-08-25,11.644,12.192,12.369,11.636,272352.0,002233
394,2011-08-26,12.281,12.095,12.281,11.971,163517.0,002233
395,2011-08-29,11.998,11.662,11.998,11.644,164838.0,002233
396,2011-08-30,11.786,11.318,11.865,11.309,162924.0,002233
397,2011-08-31,11.318,11.803,12.201,11.185,258783.0,002233
398,2011-09-01,11.644,11.477,11.839,11.424,148150.0,002233
399,2011-09-02,11.397,11.53,11.706,11.318,127503.0,002233
400,2011-09-05,11.371,10.77,11.432,10.611,170948.0,002233
401,2011-09-06,10.646,10.726,10.92,10.575,105185.0,002233
402,2011-09-07,10.84,10.929,11.026,10.726,121482.0,002233
403,2011-09-08,10.991,10.602,11.026,10.575,119758.0,002233
404,2011-09-09,10.62,10.408,10.832,10.337,133248.0,002233
405,2011-09-13,10.169,11.212,11.45,10.09,382088.0,002233
406,2011-09-14,10.955,11.15,11.212,10.858,278714.0,002233
407,2011-09-15,11.15,11.167,11.618,11.008,278763.0,002233
408,2011-09-16,11.203,11.256,11.459,11.0,206351.0,002233
409,2011-09-19,11.079,10.947,11.326,10.779,157680.0,002233
410,2011-09-20,11.053,11.547,11.777,11.026,427735.0,002233
411,2011-09-21,11.477,12.077,12.289,11.309,471370.0,002233
412,2011-09-22,11.883,11.618,12.077,11.6,280620.0,002233
413,2011-09-23,11.326,11.742,11.901,11.22,296060.0,002233
414,2011-09-26,11.609,11.512,11.945,11.424,192657.0,002233
415,2011-09-27,11.662,11.362,11.706,11.088,181047.0,002233
416,2011-09-28,11.441,11.185,11.618,11.053,142000.0,002233
417,2011-09-29,11.017,10.39,11.159,10.381,166800.0,002233
418,2011-09-30,10.425,10.204,10.567,9.842,125248.0,002233
419,2011-10-10,10.222,10.275,10.487,10.178,94581.0,002233
420,2011-10-11,10.646,10.522,10.885,10.337,151677.0,002233
421,2011-10-12,10.346,11.123,11.194,10.196,240638.0,002233
422,2011-10-13,11.097,11.353,11.424,10.973,253422.0,002233
423,2011-10-14,11.229,11.176,11.371,11.0,155261.0,002233
424,2011-10-17,11.229,11.282,11.565,11.141,155498.0,002233
425,2011-10-18,11.123,10.558,11.22,10.54,157244.0,002233
426,2011-10-20,10.584,10.187,10.584,9.966,146692.0,002233
427,2011-10-21,10.187,9.948,10.204,9.93,78728.0,002233
428,2011-10-24,10.019,10.178,10.249,9.736,94708.0,002233
429,2011-10-25,10.178,10.434,10.584,9.984,150339.0,002233
430,2011-10-26,10.337,10.77,11.273,10.266,290451.0,002233
431,2011-10-27,10.69,10.708,10.929,10.522,177094.0,002233
432,2011-10-28,10.867,10.885,11.132,10.779,172583.0,002233
433,2011-10-31,10.991,10.858,11.061,10.734,134176.0,002233
434,2011-11-01,10.726,10.734,10.823,10.558,135625.0,002233
435,2011-11-02,10.425,10.726,10.726,10.24,168079.0,002233
436,2011-11-03,10.779,10.911,11.088,10.752,276924.0,002233
437,2011-11-04,10.973,11.114,11.176,10.779,235563.0,002233
438,2011-11-07,11.07,10.787,11.07,10.779,157385.0,002233
439,2011-11-08,10.761,10.549,10.964,10.514,141122.0,002233
440,2011-11-09,10.575,10.69,10.761,10.363,111675.0,002233
441,2011-11-10,10.549,10.425,10.664,10.337,116838.0,002233
442,2011-11-11,10.54,10.461,10.743,10.381,117441.0,002233
443,2011-11-14,10.531,10.664,10.664,10.443,171236.0,002233
444,2011-11-15,10.602,10.584,10.849,10.558,151384.0,002233
445,2011-11-16,10.602,10.151,10.646,10.072,181116.0,002233
446,2011-11-17,10.151,10.045,10.222,9.975,88600.0,002233
447,2011-11-18,9.948,9.718,9.948,9.718,89565.0,002233
448,2011-11-21,9.78,9.886,9.895,9.595,67576.0,002233
449,2011-11-22,9.763,9.763,9.833,9.639,49154.0,002233
450,2011-11-23,9.763,9.559,9.824,9.551,48353.0,002233
451,2011-11-24,9.445,9.25,9.445,9.082,90918.0,002233
452,2011-11-25,9.259,9.294,9.409,9.171,73786.0,002233
453,2011-11-28,9.347,9.206,9.4,9.18,63188.0,002233
454,2011-11-29,9.277,9.347,9.409,9.153,78158.0,002233
455,2011-11-30,9.321,8.641,9.321,8.437,134828.0,002233
